"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"Flamengo","RJ","2012","200.0","200","Olympikus","210","220","229","190","180","170","622.0","32.15","32","5.84","2025-01-05","https://www.dicasnoticiaseafins.com/novas-camisas-do-flamengo-2012-foto-preco-e-onde-comprar/"
"Flamengo","RJ","2013","199.9","199","Adidas","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-01-05","https://ge.globo.com/futebol/times/flamengo/noticia/2013/05/nova-camisa-do-fla-vaza-na-internet.html"
"Flamengo","RJ","2014","219.9","219","Adidas","229","240","251","208","197","186","724.0","30.25","30","6.41","2025-01-05","https://www.terra.com.br/esportes/flamengo/fornecedora-apresenta-camisa-vazada-do-flamengo-para-2014,627f179e82bf5410VgnVCM20000099cceb0aRCRD.html"
"Flamengo","RJ","2015","219.0","219","Adidas","229","240","251","208","197","186","788.0","27.79","27","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Flamengo","RJ","2016","249.99","249","Adidas","261","273","286","236","224","211","880.0","28.3","28","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Flamengo","RJ","2017","249.99","249","Adidas","261","273","286","236","224","211","937.0","26.57","26","2.95","2025-01-05","https://navitrine.blogosfera.uol.com.br/2017/06/05/flamengo-lanca-camisa-branca-e-vai-pedir-para-torcedores-darem-nome-para-uniforme/"
"Flamengo","RJ","2018","249.9","249","Adidas","261","273","286","236","224","211","954.0","26.1","26","3.75","2025-01-05","https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais"
"Flamengo","RJ","2019","249.99","249","Adidas","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-01-05","https://www.canal121.com.br/noticia/9015/camisa-oficial-do-flamengo-ja-esta-em-falta-nas-lojas-de-teresina-so-acha-a-falsa-"
"Flamengo","RJ","2020","249.9","249","Adidas","261","273","286","236","224","211","1045.0","23.83","23","4.52","2025-01-05","https://www.goal.com/br/not%C3%ADcias/nova-camisa-2-do-flamengo-confira-preco-e-onde-comprar/plnmco3sat741ugwony6pdhxp"
"Flamengo","RJ","2021","279.99","279","Adidas","292","306","320","265","251","237","1100.0","25.36","25","10.06","2025-01-05","https://diariodorio.com/novo-uniforme-do-flamengo-e-inspirado-no-time-de-1981/"
"Flamengo","RJ","2022","299.99","299","Adidas","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-01-05","https://www.gazetaesportiva.com/times/flamengo/flamengo-inicia-venda-da-nova-camisa-veja-o-preco/"
"Flamengo","RJ","2023","349.99","349","Adidas","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://www.lance.com.br/fora-de-campo/valor-de-nova-camisa-do-flamengo-recebe-criticas-de-torcedores-na-web-vem-com-o-arrascaeta.html"
"Flamengo","RJ","2024","349.99","349","Adidas","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-01-05","https://ge.globo.com/futebol/times/flamengo/noticia/2024/02/22/c-camisas-do-flamengo-de-2024-veja-modelos-e-precos.ghtml"
"Vasco","RJ","2013","179.0","179","Penalty","187","196","205","170","161","152","678.0","26.4","26","5.91","2025-01-05","https://ge.globo.com/futebol/times/vasco/noticia/2013/05/na-estreia-das-novas-camisas-torcida-do-vasco-compra-sem-ver-modelo.html"
"Vasco","RJ","2014","219.9","219","Umbro","229","240","251","208","197","186","724.0","30.25","30","6.41","2025-01-05","https://ge.globo.com/futebol/times/vasco/noticia/2014/10/antes-do-lancamento-oficial-camisa-preta-do-vasco-e-divulgada-na-rede.html"
"Vasco","RJ","2015","219.0","219","Umbro","229","240","251","208","197","186","788.0","27.79","27","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Vasco","RJ","2016","129.9","129","Umbro","135","141","148","122","116","109","880.0","14.66","14","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Vasco","RJ","2017","239.94","239","Umbro","250","262","274","227","215","203","937.0","25.51","25","2.95","2025-01-05","https://www.facebook.com/vascodagama/posts/garanta-j%25C3%25A1-a-sua-camisa-oficial-na-shop-vasco-em-at%25C3%25A9-9x-de-r-2666-e-personalize-/10158985597835454/?locale=pt_BR"
"Vasco","RJ","2018","199.99","199","Diadora","208","218","228","189","179","169","954.0","20.86","20","3.75","2025-01-05","https://www.facebook.com/vascodagama/posts/ainda-n%C3%A3o-garantiu-a-sua-camisa-oficial-2018-do-vasc%C3%A3o-aproveite-o-natal-da-shop/10161360124985454/?locale=zh_CN"
"Vasco","RJ","2019","199.9","199","Diadora","208","218","228","189","179","169","998.0","19.94","19","4.31","2025-01-05","https://mantosdofutebol.com.br/2019/03/erro-loja-faz-camisa-vasco-ser-vendida-a-r-1999/"
